maturity_T,benchmark_price,benchmark_method,benchmark_se,ours_price,ours_standard_error,ours_abs_error,islah_price,islah_standard_error,islah_abs_error
1.0,0.7513527214651795,self_ref_n500000_dt0.0200,0.001407130159434157,0.7550614847790531,0.004450968313520169,0.0037087633138735976,0.7492748424903992,0.00444666840907195,0.0020778789747802895
2.0,1.063882005432144,self_ref_n500000_dt0.0200,0.0019948797921028787,1.0602458370982923,0.006288338299518549,0.0036361683338517192,1.0643430645149334,0.006299788250708323,0.00046105908278937235
3.0,1.3099215202163963,self_ref_n500000_dt0.0200,0.002464671710083089,1.3024509436195548,0.00776900529892918,0.007470576596841472,1.3111627293187567,0.007796943601049885,0.0012412091023603633
4.0,1.5244827123128015,self_ref_n500000_dt0.0200,0.0028779405965240167,1.523986823712099,0.009112531679376156,0.0004958886007024876,1.52102916709357,0.00909462645108094,0.0034535452192314686
5.0,1.7178387732021307,self_ref_n500000_dt0.0200,0.003251469495034494,1.713678178059709,0.01029060710976998,0.00416059514242173,1.7000486925764906,0.010166924957587498,0.017790080625640137
6.0,1.8877266534896244,self_ref_n500000_dt0.0200,0.003589723424126235,1.9038713942500478,0.011393840380691907,0.01614474076042338,1.8997479136737228,0.011426443671796833,0.012021260184098326
7.0,2.0461945970654325,self_ref_n500000_dt0.0200,0.003911705767229045,2.0228800744024418,0.012232762598556192,0.023314522662990722,2.050447005509814,0.012369090757042393,0.004252408444381572
8.0,2.1939925034915344,self_ref_n500000_dt0.0200,0.00421348351169931,2.222998763104457,0.013380798757800353,0.02900625961292258,2.1947781746730026,0.013274156010739852,0.0007856711814682171
9.0,2.328292293517845,self_ref_n500000_dt0.0200,0.004482857441968116,2.3158622941226463,0.014112769785428754,0.012429999395198621,2.3379477967618305,0.014073332185788653,0.009655503243985564
10.0,2.46305749067829,self_ref_n500000_dt0.0200,0.004747151264855485,2.4467064025305065,0.014956657023533725,0.01635108814778352,2.434813777287944,0.014998909015508407,0.028243713390346148
