maturity_T,n_paths,n_replications,elapsed_seconds,benchmark_price,benchmark_se,benchmark_method,ours_mean_price,ours_bias_signed,ours_abs_bias,ours_stdev_across_replications,ours_sem_of_bias,ours_abs_bias_in_sems,islah_mean_price,islah_bias_signed,islah_abs_bias,islah_stdev_across_replications,islah_sem_of_bias,islah_abs_bias_in_sems
1.0,100000,50,1.9052725409856066,0.1132887314762828,0.00027279340220462953,self_ref_n500000_dt0.0200,0.11306029333486872,-0.00022843814141407237,0.00022843814141407237,0.0006618196404319973,9.359543113438157e-05,2.440697570868471,0.11287903350454075,-0.00040969797174204847,0.00040969797174204847,0.0005732149057176643,8.106482938203359e-05,5.053954654135742
2.0,100000,50,3.8608224160270765,0.1599385353158474,0.0003935164938688905,self_ref_n500000_dt0.0200,0.1598356003903114,-0.00010293492553600792,0.00010293492553600792,0.0008141101142815015,0.00011513255648820097,0.8940557621210895,0.1596246073206334,-0.0003139279952139862,0.0003139279952139862,0.0007714347483337167,0.00010909734835794175,2.877503440175352
3.0,100000,50,5.823336666973773,0.1973079630562191,0.0004908395222721543,self_ref_n500000_dt0.0200,0.1971518602608552,-0.00015610279536387717,0.00015610279536387717,0.001132145003278624,0.00016010948182095623,0.9749753330564171,0.1968959851257187,-0.000411977930500379,0.000411977930500379,0.001052703338158827,0.00014887473379796435,2.767279040508432
4.0,100000,50,7.876851000008173,0.22821111930517582,0.000571415971546588,self_ref_n500000_dt0.0200,0.22813204913513332,-7.90701700424945e-05,7.90701700424945e-05,0.0012657786546800807,0.00017900813404109407,0.44171272141378076,0.22809083931944088,-0.00012027998573493903,0.00012027998573493903,0.0013742197912977971,0.0001943440266534869,0.618902406243732
5.0,100000,50,9.847323666966986,0.25581338079846155,0.0006433280804384449,self_ref_n500000_dt0.0200,0.25531153073832014,-0.0005018500601414178,0.0005018500601414178,0.0014336268297798684,0.00020274545060566343,2.4752716208538157,0.2553980509012943,-0.0004153298971672492,0.0004153298971672492,0.0014999520738445983,0.0002121252565740681,1.9579464693409945
6.0,100000,50,11.81449583300855,0.2802668737881671,0.0007090828840831762,self_ref_n500000_dt0.0200,0.279940380437437,-0.0003264933507300949,0.0003264933507300949,0.0015308034689391775,0.00021648830271015656,1.5081339113606411,0.28028182024678333,1.494645861621624e-05,1.494645861621624e-05,0.0014050420643780292,0.00019870295431481002,0.07522011269412832
7.0,100000,50,13.755049041996244,0.3027837778320761,0.0007717556452363853,self_ref_n500000_dt0.0200,0.30297547912743944,0.00019170129536333347,0.00019170129536333347,0.002091365998830088,0.0002957638159431465,0.648156687970862,0.3031066018144586,0.0003228239823824808,0.0003228239823824808,0.0014851904654126936,0.00021003764988938403,1.5369815009475467
8.0,100000,50,15.52595250000013,0.3228982237375525,0.0008324205978493444,self_ref_n500000_dt0.0200,0.3238705872839808,0.0009723635464283231,0.0009723635464283231,0.0020724742802416584,0.00029309212347871717,3.3176038130513974,0.32340225367794756,0.0005040299403950566,0.0005040299403950566,0.0019982298863606895,0.00028259238060305354,1.783593525485203
9.0,100000,50,17.50920137501089,0.34243125759363124,0.0008862996123106897,self_ref_n500000_dt0.0200,0.342024308664009,-0.0004069489296222306,0.0004069489296222306,0.0021944576056503033,0.00031034317079634477,1.3112868847024866,0.3424964561530033,6.519855937203722e-05,6.519855937203722e-05,0.0020073606036823174,0.00028388365903009766,0.22966647532581225
10.0,100000,50,19.271975334035233,0.36132391913296236,0.0009430013654536718,self_ref_n500000_dt0.0200,0.3594633295676985,-0.0018605895652638593,0.0018605895652638593,0.0017387667863520621,0.0002458987571062968,7.566486252956399,0.35977775802069417,-0.001546161112268185,0.001546161112268185,0.0019449002870218562,0.0002750504363369634,5.621373057463497
