maturity_T,scheme,n_steps,h,n_paths,n_replications,benchmark_price,benchmark_se,benchmark_method,mean_price,bias_signed,abs_bias,stdev_across_replications,sem_of_bias,combined_sem,abs_bias_in_combined_sems,elapsed_seconds
4.0,frozen_left,25,0.16,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21702413048503835,-0.0020339500991496118,0.0020339500991496118,0.0019152430929086676,0.0005528830576271953,0.001000377008016838,2.033183572643022,2.452818457997637
4.0,power_projected,25,0.16,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21784701811438248,-0.001211062469805485,0.001211062469805485,0.0018461909906040607,0.0005329494327003582,0.0009894996617347363,1.2239139806094699,2.4508959999948274
4.0,frozen_left,50,0.08,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21703012317047096,-0.002027957413717002,0.002027957413717002,0.0017322462135234197,0.0005000564088402282,0.0009721784274399991,2.0859930198792274,4.906597997978679
4.0,power_projected,50,0.08,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21796799180161594,-0.001090088782572024,0.001090088782572024,0.0012873079220026564,0.00037161378764908573,0.0009127821700320531,1.1942485495019526,4.882379209971987
4.0,frozen_left,100,0.04,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21809321047621222,-0.000964870107975746,0.000964870107975746,0.0011894158474451094,0.0003433547798504204,0.0009016468197712754,1.0701197928258748,9.63007175202074
4.0,power_projected,100,0.04,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21884893903000457,-0.00020914155418338964,0.00020914155418338964,0.0022371507319521996,0.0006458097886551854,0.0010545827449187565,0.19831687479345358,9.587865958019393
4.0,frozen_left,200,0.02,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21812759792207448,-0.0009304826621134854,0.0009304826621134854,0.0018822337416236656,0.00054335407870211,0.000995142270029639,0.9350247599127433,18.718779916031053
4.0,power_projected,200,0.02,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21842090815108342,-0.0006371724331045436,0.0006371724331045436,0.0014157542908124106,0.0004086930604534565,0.0009284958268190206,0.6862415691058773,18.587883998974576
4.0,frozen_left,400,0.01,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.21884852386570453,-0.00020955671848343904,0.00020955671848343904,0.0028317291065636774,0.0008174497809733188,0.001167603797172162,0.17947587956716804,36.197991080989596
4.0,power_projected,400,0.01,25000,12,0.21905808058418796,0.0008337112706192259,self_ref_frozen_left_n120000_dt0.0050,0.2184019459249417,-0.0006561346592462713,0.0006561346592462713,0.0016984968648212978,0.0004903138110611559,0.0009672032444501202,0.678383434930784,36.091940627025906
